step,value
8192,1.386117696762085
16384,1.3851370811462402
24576,1.3804991245269775
32768,1.3579319715499878
40960,1.292159914970398
49152,1.2314270734786987
57344,1.1458619832992554
65536,1.0558899641036987
73728,0.9943093061447144
81920,0.9401630759239197
90112,0.8935491442680359
98304,0.8602049350738525
106496,0.8320876359939575
114688,0.8141140341758728
122880,0.7928929328918457
131072,0.768385112285614
139264,0.7528113722801208
147456,0.7430058121681213
155648,0.7336335182189941
163840,0.7277047038078308
172032,0.7209665179252625
180224,0.706305980682373
188416,0.6927928924560547
196608,0.6659623980522156
204800,0.6512455344200134
212992,0.6376175880432129
221184,0.6226010918617249
229376,0.6138408184051514
237568,0.5858365297317505
245760,0.5693863034248352
253952,0.5495738983154297
262144,0.5126333236694336
270336,0.48297083377838135
278528,0.47425225377082825
286720,0.47006550431251526
294912,0.4627724885940552
303104,0.4685673117637634
311296,0.4768604338169098
319488,0.4834754467010498
327680,0.47296884655952454
335872,0.46684545278549194
344064,0.4604277014732361
352256,0.4633462131023407
360448,0.47468680143356323
368640,0.4677133858203888
376832,0.46008536219596863
385024,0.45479997992515564
393216,0.44710326194763184
401408,0.44347450137138367
409600,0.44633567333221436
417792,0.4345438480377197
425984,0.4180898070335388
434176,0.40028637647628784
442368,0.36954033374786377
450560,0.3592950105667114
458752,0.3639540672302246
466944,0.36669784784317017
475136,0.37241625785827637
483328,0.36456000804901123
491520,0.35799774527549744
499712,0.34479644894599915
507904,0.3351784348487854
516096,0.33758923411369324
524288,0.3285202085971832
532480,0.32241198420524597
540672,0.32063397765159607
548864,0.33143648505210876
557056,0.327246755361557
565248,0.3132186830043793
573440,0.31076908111572266
581632,0.3057430386543274
589824,0.29375895857810974
598016,0.2888396680355072
606208,0.29139256477355957
614400,0.2968776822090149
622592,0.29981309175491333
630784,0.3059474229812622
638976,0.3258545994758606
647168,0.34679535031318665
655360,0.36477601528167725
663552,0.4043065309524536
671744,0.442064493894577
679936,0.4575513005256653
688128,0.451095849275589
696320,0.4522130787372589
704512,0.4875069558620453
712704,0.5385631322860718
720896,0.561740517616272
729088,0.5865246653556824
737280,0.5924484729766846
745472,0.5456072092056274
753664,0.5196487903594971
761856,0.5041366815567017
770048,0.5158919095993042
778240,0.511244535446167
786432,0.5263683199882507
794624,0.49415382742881775
802816,0.5072285532951355
811008,0.5364487171173096
819200,0.5279838442802429
827392,0.5351679921150208
835584,0.5553838610649109
843776,0.5656849145889282
851968,0.5595285892486572
860160,0.540802001953125
868352,0.5492971539497375
876544,0.5468286871910095
